id,gene,gene_id,description
gene873,hcr,gene:BAA35586,HCP oxidoreductase%2C NADH-dependent
gene874,hcp,gene:BAA35587,hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases
gene875,ybjE,gene:BAA35588,predicted transporter
gene876,aqpZ,gene:BAA35589,aquaporin
gene877,ybjD,gene:BAA35594,conserved hypothetical protein with nucleoside triphosphate hydrolase domain
gene878,ybjX,gene:BAA35595,conserved hypothetical protein
gene879,macA,gene:BAA35597,macrolide transporter subunit%2C membrane fusion protein (MFP) component
gene880,macB,gene:BAA35598,fused macrolide transporter subunits and ATP-binding component and membrane component of ABC superfamily
gene881,cspD,gene:BAA35599,cold shock protein homolog
gene882,clpS,gene:BAA35600,regulatory protein for ClpA substrate specificity
gene883,clpA,gene:BAA35601,ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease%2C chaperone activity
gene884,serW,,
gene885,infA,gene:BAA35602,translation initiation factor IF-1
gene886,aat,gene:BAA35605,leucyl/phenylalanyl-tRNA-protein transferase
gene887,cydC,gene:BAA35611,fused cysteine transporter subunits and membrane component and ATP-binding component of ABC superfamily
gene888,cydD,gene:BAA35612,fused cysteine transporter subunits and membrane component and ATP-binding component of ABC superfamily
gene889,trxB,gene:BAA35613,thioredoxin reductase%2C FAD/NAD(P)-binding
gene890,lrp,gene:BAA35614,DNA-binding transcriptional dual regulator%2C leucine-binding
gene891,ftsK,gene:BAA35615,DNA-binding membrane protein required for chromosome resolution and partitioning
gene892,lolA,gene:BAA35616,chaperone for lipoproteins
gene893,ycaJ,gene:BAA35617,recombination protein
gene894,serS,gene:BAA35625,seryl-tRNA synthetase%2C also charges selenocysteinyl-tRNA with serine
gene895,dmsA,gene:BAA35626,dimethyl sulfoxide reductase%2C anaerobic%2C subunit A
gene896,dmsB,gene:BAA35627,dimethyl sulfoxide reductase%2C anaerobic%2C subunit B
gene897,dmsC,gene:BAA35628,dimethyl sulfoxide reductase%2C anaerobic%2C subunit C
gene898,ycaC,gene:BAA35629,predicted hydrolase
gene899,ycaD,gene:BAA35630,predicted transporter
gene900,ycaM,gene:BAA35634,predicted transporter
gene901,ycaN,gene:BAA35635,predicted DNA-binding transcriptional regulator
gene902,ycaK,gene:BAA35636,conserved hypothetical protein
gene903,pflA,gene:BAA35637,pyruvate formate lyase activating enzyme 1
gene904,pflB,gene:BAA35638,pyruvate formate lyase I
gene905,focA,gene:BAA35639,formate transporter
gene906,ycaO,gene:BAA35640,conserved hypothetical protein
gene907,ycaP,gene:BAA35641,conserved inner membrane protein
gene908,serC,gene:BAA35642,3-phosphoserine/phosphohydroxythreonine aminotransferase
gene909,aroA,gene:BAA35643,5-enolpyruvylshikimate-3-phosphate synthetase
gene910,ycaL,gene:BAA35644,predicted peptidase with chaperone function
gene911,cmk,gene:BAA35645,cytidylate kinase
gene912,rpsA,gene:BAA35655,30S ribosomal subunit protein S1
gene913,ihfB,gene:BAA35656,integration host factor (IHF)%2C DNA-binding protein%2C beta subunit
gene914,ycaI,gene:BAA35657,conserved inner membrane protein
gene915,msbA,gene:BAA35658,fused lipid transporter subunits and membrane component and ATP-binding component of ABC superfamily
gene916,lpxK,gene:BAA35661,lipid A 4'kinase
gene917,ycaQ,gene:BAA35662,conserved hypothetical protein
gene918,ycaR,gene:BAA35663,conserved hypothetical protein
gene919,kdsB,gene:BAA35664,3-deoxy-manno-octulosonate cytidylyltransferase
gene920,ycbJ,gene:BAA35665,conserved hypothetical protein
gene921,ycbC,gene:BAA35666,conserved inner membrane protein
gene922,smtA,gene:BAA35667,S-adenosylmethionine-dependent methyltransferase
gene923,mukF,gene:BAA35668,Involved in chromosome partioning%2C Ca2+ binding protein
gene924,mukE,gene:BAA35669,protein involved in chromosome partitioning
gene925,mukB,gene:BAA35670,fused chromosome partitioning proteins
gene926,ycbB,gene:BAA35671,predicted carboxypeptidase
gene927,ycbK,gene:BAA35672,conserved hypothetical protein
gene928,ycbL,gene:BAA35673,predicted metal-binding enzyme
gene929,aspC,gene:BAA35674,aspartate aminotransferase%2C PLP-dependent
gene930,ompF,gene:BAA35675,outer membrane porin 1a (Ia%3Bb%3BF)
gene931,asnS,gene:BAA35682,asparaginyl tRNA synthetase
gene932,pncB,gene:BAA35683,nicotinate phosphoribosyltransferase
gene933,pepN,gene:BAA35684,aminopeptidase N
gene934,ssuB,gene:BAA35685,alkanesulfonate transporter subunit
gene935,ssuC,gene:BAA35689,alkanesulfonate transporter subunit
gene936,ssuD,gene:BAA35690,alkanesulfonate monooxygenase%2C FMNH(2)-dependent
gene937,ssuA,gene:BAA35691,alkanesulfonate transporter subunit
gene938,ssuE,gene:BAA35692,NAD(P)H-dependent FMN reductase
gene939,ycbQ,gene:BAA35693,predicted fimbrial-like adhesin protein
gene940,ycbR,gene:BAA35694,predicted periplasmic pilin chaperone
gene941,ycbS,gene:BAA35695,predicted outer membrane usher protein
gene942,ycbT,gene:BAA35696,predicted fimbrial-like adhesin protein
gene943,ycbU,gene:BAA35697,predicted fimbrial-like adhesin protein
gene944,ycbV,gene:BAA35698,predicted fimbrial-like adhesin protein
gene945,ycbF,gene:BAA35699,predicted periplasmic pilini chaperone
gene946,pyrD,gene:BAA35700,dihydro-orotate oxidase%2C FMN-linked
gene947,ycbW,gene:BAA35701,hypothetical protein
gene948,ycbX,gene:BAA35702,predicted 2Fe-2S cluster-containing protein
gene949,ycbY,gene:BAA35703,predicted methyltransferase
gene950,uup,gene:BAA35707,fused predicted transporter subunits and ATP-binding components of ABC superfamily
gene951,pqiA,gene:BAA35708,paraquat-inducible membrane protein A
gene952,pqiB,gene:BAA35709,paraquat-inducible protein B
gene953,ymbA,gene:BAA35710,conserved hypothetical protein
gene954,rmf,gene:BAA35711,ribosome modulation factor
gene955,fabA,gene:BAA35712,beta-hydroxydecanoyl thioester dehydrase
gene956,ycbZ,gene:BAA35713,predicted peptidase
gene957,ycbG,gene:BAA35714,conserved hypothetical protein
gene958,ompA,gene:BAA35715,outer membrane protein A (3a%3BII*%3BG%3Bd)
gene959,sulA,gene:BAA35716,SOS cell division inhibitor
gene960,yccR,gene:BAA35717,conserved hypothetical protein
gene961,yccS,gene:BAA35718,predicted inner membrane protein
gene962,yccF,gene:BAA35719,conserved inner membrane protein
gene963,helD,gene:BAA35727,DNA helicase IV
gene964,mgsA,gene:BAA35728,methylglyoxal synthase
gene965,yccT,gene:BAA35729,conserved hypothetical protein
gene966,yccU,gene:BAA35730,predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain
gene967,yccV,gene:BAA35731,DNA-binding protein%2C hemimethylated
gene968,yccW,gene:BAA35732,predicted methyltransferase
gene969,yccX,gene:BAA35733,predicted acylphosphatase
gene970,yccK,gene:BAA35734,predicted sulfite reductase subunit
gene971,yccA,gene:BAA35735,inner membrane protein
gene972,serT,,
gene973,hyaA,gene:BAA35737,hydrogenase 1%2C small subunit
gene974,hyaB,gene:BAA35738,hydrogenase 1%2C large subunit
gene975,hyaC,gene:BAA35739,hydrogenase 1%2C b-type cytochrome subunit
gene976,hyaD,gene:BAA35740,protein involved in processing of HyaA and HyaB proteins
gene977,hyaE,gene:BAA35741,protein involved in processing of HyaA and HyaB proteins
gene978,hyaF,gene:BAA35742,protein involved in nickel incorporation into hydrogenase-1 proteins
gene979,appC,gene:BAA35743,cytochrome bd-II oxidase%2C subunit I
gene980,appB,gene:BAA35744,cytochrome bd-II oxidase%2C subunit II
gene981,appA,gene:BAA35745,phosphoanhydride phosphorylase
gene982,yccC,gene:BAA35746,cryptic autophosphorylating protein tyrosine kinase Etk
gene983,etp,gene:BAA35747,phosphotyrosine-protein phosphatase
gene984,yccZ,gene:BAA35748,predicted exopolysaccharide export protein
gene985,ymcA,gene:BAA35749,conserved hypothetical protein
gene986,ymcB,gene:BAA35750,conserved hypothetical protein
gene987,ymcC,gene:BAA35751,predicted outer membrane lipoprotein
gene988,ymcD,gene:BAA35752,hypothetical protein
gene989,insA,gene:BAE76034,IS1 repressor protein InsA
gene990,insB,gene:BAE76033,IS1 transposase InsAB'
gene991,cspH,gene:BAA35755,stress protein%2C member of the CspA-family
gene992,cspG,gene:BAA35756,DNA-binding transcriptional regulator
gene993,ymcE,gene:BAA35757,cold shock gene
gene994,gnsA,gene:BAA35758,predicted regulator of phosphatidylethanolamine synthesis
gene995,yccM,gene:BAA36134,predicted 4Fe-4S membrane protein
gene996,torS,gene:BAA36135,hybrid sensory histidine kinase in two-component regulatory system with TorR
gene997,torT,gene:BAA36136,periplasmic sensory protein associated with the TorRS two-component regulatory system
gene998,torR,gene:BAA36137,DNA-binding response regulator in two-component regulatory system with TorS
gene999,torC,gene:BAA36138,trimethylamine N-oxide (TMAO) reductase I%2C cytochrome c-type subunit
gene1000,torA,gene:BAA36139,trimethylamine N-oxide (TMAO) reductase I%2C catalytic subunit
gene1001,torD,gene:BAA36140,chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I
gene1002,cbpM,gene:BAA36141,modulator of CbpA co-chaperone
gene1003,cbpA,gene:BAA36142,curved DNA-binding protein%2C DnaJ homologue that functions as a co-chaperone of DnaK
gene1004,yccE,gene:BAA35768,hypothetical protein
gene1005,agp,gene:BAA35769,glucose-1-phosphatase/inositol phosphatase
gene1006,yccJ,gene:BAA35770,hypothetical protein
gene1007,wrbA,gene:BAA35771,predicted flavoprotein in Trp regulation
gene1008,ymdF,gene:BAA35772,conserved hypothetical protein
gene1009,ycdG,gene:BAA35773,predicted transporter
gene1010,ycdH,gene:BAA35774,predicted oxidoreductase%2C flavin:NADH component
gene1011,ycdI,gene:BAA35775,predicted oxidoreductase
gene1012,rarA,gene:BAA35776,predicted hydrolase
gene1013,ycdK,gene:BAA35777,conserved hypothetical protein
gene1014,ycdL,gene:BAA35778,hypothetical protein
gene1015,ycdM,gene:BAA35789,predicted monooxygenase
gene1016,ycdC,gene:BAA35790,predicted DNA-binding transcriptional regulator
gene1017,putA,gene:BAA35791,fused DNA-binding transcriptional regulator%2C proline dehydrogenase%2C and pyrroline-5-carboxylate dehydrogenase
gene1018,putP,gene:BAA35793,proline:sodium symporter
gene1019,ycdN,,
gene1020,ycdO,gene:BAA35795,conserved hypothetical protein
gene1021,ycdB,gene:BAA35800,conserved hypothetical protein
gene1022,phoH,gene:BAA35801,conserved hypothetical protein with nucleoside triphosphate hydrolase domain
gene1023,ycdP,gene:BAA35802,predicted inner membrane protein
gene1024,ycdQ,gene:BAA35803,predicted glycosyl transferase
gene1025,ycdR,gene:BAA35805,predicted enzyme associated with biofilm formation
gene1026,ycdS,gene:BAA35806,predicted outer membrane protein
gene1027,ycdT,gene:BAA35810,predicted diguanylate cyclase
gene1028,insF,gene:BAE76084,IS3 element protein InsF
gene1029,insE,gene:BAE76083,IS3 element protein
gene1030,ymdE,,
gene1031,ycdU,gene:BAA35813,predicted inner membrane protein
gene1032,serX,,
gene1033,ycdW,gene:BAA35814,2-ketoacid reductase
gene1034,ycdX,gene:BAA35815,predicted zinc-binding hydrolase
gene1035,ycdY,gene:BAA35816,conserved hypothetical protein
gene1036,ycdZ,gene:BAA35817,predicted inner membrane protein
gene1037,csgG,gene:BAA35818,outer membrane lipoprotein
gene1038,csgF,gene:BAA35819,predicted transport protein
gene1039,csgE,gene:BAA35820,predicted transport protein
gene1040,csgD,gene:BAA35830,DNA-binding transcriptional activator in two-component regulatory system
gene1041,csgB,gene:BAA35831,curlin nucleator protein%2C minor subunit in curli complex
gene1042,csgA,gene:BAA35832,cryptic curlin major subunit
gene1043,csgC,gene:BAA35833,predicted curli production protein
gene1044,insD,gene:BAE76142,IS2 insertion element transposase InsAB'
gene1045,insC,gene:BAE76141,IS2 insertion element repressor InsA
gene1046,ymdA,gene:BAA35834,hypothetical protein
gene1047,ymdB,gene:BAA35835,conserved hypothetical protein
gene1048,ymdC,gene:BAA35836,predicted hydrolase
gene1049,mdoC,gene:BAA35837,membrane protein required for modification of periplasmic glucan
gene1050,mdoG,gene:BAA35846,glucan biosynthesis protein%2C periplasmic
gene1051,mdoH,gene:BAA35848,glucan biosynthesis: glycosyl transferase
gene1052,yceK,gene:BAA35849,predicted lipoprotein
gene1053,msyB,gene:BAA35850,hypothetical protein
gene1054,mdtG,gene:BAA35851,predicted drug efflux system
gene1055,lpxL,gene:BAA35852,lauryl-acyl carrier protein (ACP)-dependent acyltransferase
gene1056,yceA,gene:BAA35853,conserved hypothetical protein
gene1057,yceI,gene:BAA35854,hypothetical protein
gene1058,yceJ,gene:BAA35855,predicted cytochrome b561
gene1059,yceO,gene:BAE76372,hypothetical protein
gene1060,solA,gene:BAA35856,N-methyltryptophan oxidase%2C FAD-binding
gene1061,yceP,gene:BAA35857,hypothetical protein
gene1062,dinI,gene:BAA35858,DNA damage-inducible protein I
gene1063,pyrC,gene:BAA35870,dihydro-orotase
gene1064,yceB,gene:BAA35871,predicted lipoprotein
gene1065,grxB,gene:BAA35872,glutaredoxin 2
gene1066,mdtH,gene:BAA35873,predicted drug efflux system
gene1067,rimJ,gene:BAA35874,ribosomal-protein-S5-alanine N-acetyltransferase
gene1068,yceH,gene:BAA35875,conserved hypothetical protein
gene1069,mviM,gene:BAA35876,predicted oxidoreductase%2C NAD(P)-binding Rossmann-fold domain
gene1070,mviN,gene:BAA35877,predicted inner membrane protein
gene1071,flgN,gene:BAA35878,export chaperone for FlgK and FlgL
gene1072,flgM,gene:BAA35879,anti-sigma factor for FliA (sigma 28)
gene1073,flgA,gene:BAA35880,assembly protein for flagellar basal-body periplasmic P ring
gene1074,flgB,gene:BAA35881,flagellar component of cell-proximal portion of basal-body rod
gene1075,flgC,gene:BAA35882,flagellar component of cell-proximal portion of basal-body rod
gene1076,flgD,gene:BAA35883,flagellar hook assembly protein
gene1077,flgE,gene:BAA35885,flagellar hook protein
gene1078,flgF,gene:BAA35886,flagellar component of cell-proximal portion of basal-body rod
gene1079,flgG,gene:BAA35887,flagellar component of cell-distal portion of basal-body rod
gene1080,flgH,gene:BAA35888,flagellar protein of basal-body outer-membrane L ring
gene1081,flgI,gene:BAA35889,predicted flagellar basal body protein
gene1082,flgJ,gene:BAA35890,muramidase
gene1083,flgK,gene:BAA35891,flagellar hook-filament junction protein 1
gene1084,flgL,gene:BAA35892,flagellar hook-filament junction protein
gene1085,rne,gene:BAA35893,fused ribonucleaseE endoribonuclease and scaffold for formation of degradosome
gene1086,yceQ,gene:BAE76373,hypothetical protein
gene1087,rluC,gene:BAA35894,23S rRNA pseudouridylate synthase
gene1088,yceF,gene:BAA35895,hypothetical protein
gene1089,sraB,,
gene1090,yceD,gene:BAA35896,conserved hypothetical protein
gene1091,rpmF,gene:BAA35897,50S ribosomal subunit protein L32
gene1092,plsX,gene:BAA35898,fatty acid/phospholipid synthesis protein
gene1093,fabH,gene:BAA35899,3-oxoacyl-[acyl-carrier-protein] synthase III
gene1094,fabD,gene:BAA35900,malonyl-CoA-[acyl-carrier-protein] transacylase
gene1095,fabG,gene:BAA35901,3-oxoacyl-[acyl-carrier-protein] reductase
gene1096,acpP,gene:BAA35902,acyl carrier protein
gene1097,fabF,gene:BAA35903,3-oxoacyl-[acyl-carrier-protein] synthase II
gene1098,pabC,gene:BAA35904,4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex
gene1099,yceG,gene:BAE76374,predicted aminodeoxychorismate lyase
gene1100,tmk,gene:BAA35905,thymidylate kinase
gene1101,holB,gene:BAA35906,DNA polymerase III%2C delta prime subunit
gene1102,ycfH,gene:BAA35907,predicted metallodependent hydrolase
gene1103,ptsG,gene:BAA35908,fused glucose-specific PTS enzyme IIBC components
gene1104,fhuE,gene:BAA35909,ferric-rhodotorulic acid outer membrane transporter
gene1105,hinT,gene:BAA35910,purine nucleoside phosphoramidase
gene1106,ycfL,gene:BAA35911,hypothetical protein
gene1107,ycfM,gene:BAA35912,predicted outer membrane lipoprotein
gene1108,ycfN,gene:BAA35913,thiamin kinase
gene1109,nagZ,gene:BAA35914,beta N-acetyl-glucosaminidase
gene1110,ycfP,gene:BAA35915,conserved hypothetical protein
gene1111,ndh,gene:BAA35924,respiratory NADH dehydrogenase 2/cupric reductase
gene1112,ycfJ,gene:BAA35925,hypothetical protein
gene1113,ycfQ,gene:BAA35926,predicted DNA-binding transcriptional regulator
gene1114,ycfR,gene:BAA35927,hypothetical protein
gene1115,ycfS,gene:BAA35928,conserved hypothetical protein
gene1116,mfd,gene:BAA35929,transcription-repair coupling factor
gene1117,ycfT,gene:BAA35930,predicted inner membrane protein
gene1118,lolC,gene:BAA35936,outer membrane-specific lipoprotein transporter subunit
gene1119,lolD,gene:BAA35937,outer membrane-specific lipoprotein transporter subunit
gene1120,lolE,gene:BAA35938,outer membrane-specific lipoprotein transporter subunit
gene1121,ycfX,gene:BAA35939,predicted DNA-binding transcriptional regulator
gene1122,cobB,gene:BAA35940,deacetylase of acetyl-CoA synthetase%2C NAD-dependent
gene1123,ycfZ,gene:BAA35941,predicted inner membrane protein
gene1124,ymfA,gene:BAA35942,predicted inner membrane protein
gene1125,potD,gene:BAA35943,polyamine transporter subunit
gene1126,potC,gene:BAA35944,polyamine transporter subunit
gene1127,potB,gene:BAA35945,polyamine transporter subunit
gene1128,potA,gene:BAA35946,polyamine transporter subunit
gene1129,pepT,gene:BAA35949,peptidase T
gene1130,ycfD,gene:BAA35950,conserved hypothetical protein
gene1131,phoQ,gene:BAA35951,sensory histidine kinase in two-compoent regulatory system with PhoP
gene1132,phoP,gene:BAA35952,DNA-binding response regulator in two-component regulatory system with PhoQ
gene1133,purB,gene:BAA35953,adenylosuccinate lyase
gene1134,hflD,gene:BAA35954,predicted lysogenization regulator
gene1135,trmU,gene:BAA35955,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
gene1136,ymfB,gene:BAA35956,bifunctional thiamin pyrimidine pyrophosphate hydrolase and thiamin pyrophosphate hydrolase
gene1137,ymfC,gene:BAA35957,23S rRNA pseudouridine synthase
gene1138,icd,gene:BAA35958,isocitrate dehydrogenase%2C specific for NADP+
gene1139,ymfD,gene:BAE76375,predicted SAM-dependent methyltransferase
gene1140,ymfE,gene:BAE76376,predicted inner membrane protein
gene1141,lit,gene:BAA35968,cell death peptidase%2C inhibitor of T4 late gene expression
gene1142,intE,gene:BAA35969,predicted integrase
gene1143,ymfG,gene:BAA35970,predicted excisionase
gene1144,ymfH,gene:BAE76377,hypothetical protein
gene1145,ymfI,gene:BAE76378,hypothetical protein
gene1146,ymfJ,gene:BAE76379,hypothetical protein
gene1147,ymfK,gene:BAA35971,repressor protein phage e14
gene1148,ymfT,gene:BAA35972,predicted DNA-binding transcriptional regulator
gene1149,ymfL,gene:BAA35973,predicted DNA-binding transcriptional regulator
gene1150,ymfM,gene:BAE76380,hypothetical protein
gene1151,ymfN,gene:BAA35975,predicted DNA-binding transcriptional regulator
gene1152,ymfR,gene:BAA35976,hypothetical protein
gene1153,ymfO,gene:BAA35977,conserved hypothetical protein
gene1154,ymfP,gene:BAA35978,conserved hypothetical protein
gene1155,ymfQ,gene:BAA35979,conserved hypothetical protein
gene1156,ycfK,gene:BAA35980,hypothetical protein
gene1157,ymfS,gene:BAE76381,hypothetical protein
gene1158,tfaE,gene:BAE76382,predicted tail fiber assembly protein
gene1159,stfE,,
gene1160,pin,gene:BAA35994,site-specific DNA recombinase
gene1161,mcrA,gene:BAA35995,5-methylcytosine-specific restriction endonuclease B
gene1162,icdC,,
gene1163,elbA,gene:BAE76383,hypothetical protein
gene1164,ycgX,gene:BAE76384,hypothetical protein
gene1165,ycgE,gene:BAA35997,predicted DNA-binding transcriptional regulator
gene1166,ycgF,gene:BAA35998,predicted FAD-binding phosphodiesterase
gene1167,ycgZ,gene:BAE76385,hypothetical protein
gene1168,ymgA,gene:BAE76386,hypothetical protein
gene1169,ymgB,gene:BAE76387,hypothetical protein
gene1170,ymgC,gene:BAA35999,hypothetical protein
gene1171,ycgG,gene:BAA36000,conserved inner membrane protein
gene1172,ymgF,gene:BAE76388,hypothetical protein
gene1173,ycgH,,
gene1174,ymgD,gene:BAA36005,hypothetical protein
gene1175,ymgG,gene:BAA36006,hypothetical protein
gene1176,ymgH,gene:BAE76389,hypothetical protein
gene1177,ycgI,gene:BAE76390,hypothetical protein
gene1178,minE,gene:BAA36008,cell division topological specificity factor
gene1179,minD,gene:BAA36009,membrane ATPase of the MinC-MinD-MinE system
gene1180,minC,gene:BAA36010,cell division inhibitor
gene1181,ycgJ,gene:BAA36011,hypothetical protein
gene1182,ycgK,gene:BAA36012,hypothetical protein
gene1183,ycgL,gene:BAA36013,conserved hypothetical protein
gene1184,ycgM,gene:BAA36014,predicted isomerase/hydrolase
gene1185,ycgN,gene:BAA36015,conserved hypothetical protein
gene1186,hlyE,gene:BAA36016,hemolysin E
gene1187,umuD,gene:BAA36030,DNA polymerase V%2C subunit D
gene1188,umuC,gene:BAA36031,DNA polymerase V%2C subunit C
gene1189,dsbB,gene:BAA36032,oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I
gene1190,nhaB,gene:BAA36033,sodium:proton antiporter
gene1191,fadR,gene:BAA36042,DNA-binding transcriptional dual regulator
gene1192,ycgB,gene:BAA36043,conserved hypothetical protein
gene1193,dadA,gene:BAA36044,D-amino acid dehydrogenase
gene1194,dadX,gene:BAA36045,alanine racemase 2%2C PLP-binding
gene1195,cvrA,gene:BAA36046,predicted cation/proton antiporter
gene1196,ldcA,gene:BAA36050,L%2CD-carboxypeptidase A
gene1197,emtA,gene:BAA36051,lytic murein endotransglycosylase E
gene1198,ycgR,gene:BAA36052,protein involved in flagellar function
gene1199,ymgE,gene:BAA36053,predicted inner membrane protein
gene1200,ycgY,gene:BAE76391,hypothetical protein
gene1201,treA,gene:BAA36054,periplasmic trehalase
gene1202,dhaH,gene:BAA36055,fused predicted dihydroxyacetone-specific PTS enzyme HPr component and EI component
gene1203,dhaL,gene:BAA36056,dihydroxyacetone kinase%2C C-terminal domain
gene1204,dhaK,gene:BAA36057,dihydroxyacetone kinase%2C N-terminal domain
gene1205,dhaR,gene:BAA36058,predicted DNA-binding transcriptional regulator%2C dihydroxyacetone
gene1206,ycgV,gene:BAA36059,predicted adhesin
gene1207,ychF,gene:BAA36061,predicted GTP-binding protein
gene1208,pth,gene:BAA36062,peptidyl-tRNA hydrolase
gene1209,ychH,gene:BAA36063,predicted inner membrane protein
gene1210,ychM,gene:BAA36064,predicted transporter
gene1211,prsA,gene:BAA36065,phosphoribosylpyrophosphate synthase
gene1212,ispE,gene:BAA36066,4-diphosphocytidyl-2-C-methylerythritol kinase
gene1213,lolB,gene:BAA36067,chaperone for lipoproteins
gene1214,hemA,gene:BAA36068,glutamyl tRNA reductase
gene1215,prfA,gene:BAA36069,peptide chain release factor RF-1
gene1216,prmC,gene:BAA36070,N5-glutamine methyltransferase%2C modifies release factors RF-1 and RF-2
gene1217,ychQ,gene:BAA36071,predicted transcriptional regulator
gene1218,ychA,gene:BAA36072,predicted transcriptional regulator
gene1219,kdsA,gene:BAA36073,3-deoxy-D-manno-octulosonate 8-phosphate synthase
gene1220,ldrA,gene:BAE76392,toxic polypeptide%2C small
gene1221,rdlA,,
gene1222,ldrB,gene:BAE76393,toxic polypeptide%2C small
gene1223,rdlB,,
gene1224,ldrC,gene:BAE76394,toxic polypeptide%2C small
gene1225,rdlC,,
gene1226,chaA,gene:BAA36074,calcium/sodium:proton antiporter
gene1227,chaB,gene:BAA36075,predicted cation regulator
gene1228,chaC,gene:BAA36076,regulatory protein for cation transport
gene1229,ychN,gene:BAA36087,conserved hypothetical protein
gene1230,ychP,gene:BAA36088,predicted invasin
gene1231,narL,gene:BAA36089,DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)
gene1232,narX,gene:BAA36090,sensory histidine kinase in two-component regulatory system with NarL
gene1233,narK,gene:BAA36091,nitrate/nitrite transporter
gene1234,narG,gene:BAA36094,nitrate reductase 1%2C alpha subunit
gene1235,narH,gene:BAA36095,nitrate reductase 1%2C beta (Fe-S) subunit
gene1236,narJ,gene:BAA36096,molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1
gene1237,narI,gene:BAA36097,nitrate reductase 1%2C gamma (cytochrome b(NR)) subunit
gene1238,ychS,gene:BAA36098,hypothetical protein
gene1239,rttR,,
gene1240,tpr,gene:BAA36099,predicted protamine-like protein
gene1241,tyrV,,
gene1242,tyrT,,
gene1243,purU,gene:BAA36100,formyltetrahydrofolate hydrolase
gene1244,ychJ,gene:BAA36101,conserved hypothetical protein
gene1245,rssA,gene:BAA36102,conserved hypothetical protein
gene1246,rssB,gene:BAA36103,response regulator of RpoS
gene1247,galU,gene:BAA36104,glucose-1-phosphate uridylyltransferase
gene1248,hns,gene:BAA36117,global DNA-binding transcriptional dual regulator H-NS
gene1249,tdk,gene:BAA36118,thymidine kinase/deoxyuridine kinase
gene1250,ychG,,
gene1251,adhE,gene:BAA36121,fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenase and pyruvate-formate lyase deactivase
gene1252,ychE,gene:BAA36122,predicted inner membrane protein
gene1253,insC,gene:BAE76141,IS2 insertion element repressor InsA
gene1254,insD,gene:BAE76142,IS2 insertion element transposase InsAB'
gene1255,oppA,gene:BAA14775,oligopeptide transporter subunit
gene1256,oppB,gene:BAA14776,oligopeptide transporter subunit
gene1257,oppC,gene:BAA14777,oligopeptide transporter subunit
gene1258,oppD,gene:BAA14778,oligopeptide transporter subunit
gene1259,oppF,gene:BAA14779,oligopeptide transporter subunit
gene1260,yciU,gene:BAA14780,hypothetical protein
gene1261,cls,gene:BAA14781,cardiolipin synthase 1
gene1262,kch,gene:BAA14782,voltage-gated potassium channel
gene1263,yciI,gene:BAA14783,hypothetical protein
gene1264,tonB,gene:BAA14784,membrane spanning protein in TonB-ExbB-ExbD complex
gene1265,yciA,gene:BAA14785,predicted hydrolase
gene1266,yciB,gene:BAA14786,predicted inner membrane protein
gene1267,yciC,gene:BAA14787,predicted inner membrane protein
gene1268,ompW,gene:BAA14788,outer membrane protein W
gene1269,yciE,gene:BAA14789,conserved hypothetical protein
gene1270,yciF,gene:BAA14790,conserved hypothetical protein
gene1271,yciG,gene:BAA14791,hypothetical protein
gene1272,trpA,gene:BAA14792,tryptophan synthase%2C alpha subunit
gene1273,trpB,gene:BAA14793,tryptophan synthase%2C beta subunit
gene1274,trpC,gene:BAA14794,fused indole-3-glycerolphosphate synthetase and N-(5-phosphoribosyl)anthranilate isomerase
gene1275,trpD,gene:BAA14798,fused glutamine amidotransferase (component II) of anthranilate synthase and anthranilate phosphoribosyl transferase
gene1276,trpE,gene:BAA14799,component I of anthranilate synthase
gene1277,trpL,gene:BAE76395,trp operon leader peptide
gene1278,yciV,gene:BAA14800,conserved hypothetical protein
gene1279,yciO,gene:BAA14801,conserved hypothetical protein
gene1280,yciQ,gene:BAA14803,predicted inner membrane protein
gene1281,rluB,gene:BAA14806,23S rRNA pseudouridylate synthase
gene1282,btuR,gene:BAA14807,cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase
gene1283,yciK,gene:BAA14808,predicted oxoacyl-(acyl carrier protein) reductase%2C EmrKY-TolC system
gene1284,sohB,gene:BAA14809,predicted inner membrane peptidase
gene1285,yciN,gene:BAA14810,hypothetical protein
gene1286,topA,gene:BAA14811,DNA topoisomerase I%2C omega subunit
gene1287,cysB,gene:BAA14827,DNA-binding transcriptional dual regulator%2C O-acetyl-L-serine-binding
gene1288,yciX,,
gene1289,acnA,gene:BAA14828,aconitate hydratase 1
gene1290,ribA,gene:BAA14831,GTP cyclohydrolase II
gene1291,pgpB,gene:BAA14832,phosphatidylglycerophosphate phosphatase B
gene1292,yciS,gene:BAA14833,conserved inner membrane protein
